source_article_id,target_article_id,link_type,wikidata_property
A000093,A000222,http://www.wikidata.org/prop/direct/P279,P279
A000086,A000085,http://www.wikidata.org/prop/direct/P279,P279
A000154,A000091,http://www.wikidata.org/prop/direct/P279,P279
A000172,A000231,http://www.wikidata.org/prop/direct/P279,P279
A000082,A000079,http://www.wikidata.org/prop/direct/P279,P279
A000084,A000060,http://www.wikidata.org/prop/direct/P279,P279
A000087,A000033,http://www.wikidata.org/prop/direct/P279,P279
A000110,A000072,http://www.wikidata.org/prop/direct/P279,P279
A000110,A000078,http://www.wikidata.org/prop/direct/P279,P279
A000194,A000150,http://www.wikidata.org/prop/direct/P279,P279
A000153,A000060,http://www.wikidata.org/prop/direct/P279,P279
A000115,A000085,http://www.wikidata.org/prop/direct/P279,P279
A000088,A000085,http://www.wikidata.org/prop/direct/P279,P279
A000067,A000093,http://www.wikidata.org/prop/direct/P279,P279
A000185,A000079,http://www.wikidata.org/prop/direct/P527,P527
A000185,A000222,http://www.wikidata.org/prop/direct/P279,P279
A000079,A000222,http://www.wikidata.org/prop/direct/P460,P460
A000006,A000146,http://www.wikidata.org/prop/direct/P279,P279
A000078,A000072,http://www.wikidata.org/prop/direct/P279,P279
A000131,A000079,http://www.wikidata.org/prop/direct/P279,P279
A000143,A000079,http://www.wikidata.org/prop/direct/P279,P279
A000033,A000087,http://www.wikidata.org/prop/direct/P460,P460
A000136,A000222,http://www.wikidata.org/prop/direct/P279,P279
A000175,A000222,http://www.wikidata.org/prop/direct/P279,P279
A000175,A000136,http://www.wikidata.org/prop/direct/P279,P279
A000175,A000006,http://www.wikidata.org/prop/direct/P279,P279
A000186,A000006,http://www.wikidata.org/prop/direct/P279,P279
A000186,A000065,http://www.wikidata.org/prop/direct/P279,P279
A000060,A000079,http://www.wikidata.org/prop/direct/P361,P361
A000163,A000194,http://www.wikidata.org/prop/direct/P279,P279
A000199,A000180,http://www.wikidata.org/prop/direct/P279,P279
A000197,A000095,http://www.wikidata.org/prop/direct/P279,P279
A000196,A000079,http://www.wikidata.org/prop/direct/P279,P279
A000122,A000079,http://www.wikidata.org/prop/direct/P279,P279
