concept_id,concept_name,concept_description
Q51647,,organized effort for the propagation of the Christian faith
Q5757680,,"organizations operating complex, high-hazard domains for extended periods without serious accidents or catastrophic failures"
Q6017526,,"association or other legal entity that enters into an arrangement for the provision of services with persons who are licensed to practice medicine, osteopathy, and dentistry, and with other care personnel"
Q1328304,,type of organization
Q1229245,,"term used by the French intellectual Michel Foucault, generally to refer to the various institutional, physical, and administrative mechanisms and knowledge structures which enhance and maintain the exercise of power within the social body"
Q6486642,,Organization that regulates a language
Q5508841,,organization
Q5190931,,computer security testing laboratory
Q6017561,,organization that tests according to agreed requirements
Q1229659,,"building housing goods to be distributed to retailers, wholesalers, or consumers"
Q6043746,,"organization focused on copyrights, trademarks, patents, or other intellectual property law concepts"
Q77115,,"public location where members of a community tend to gather for group activities, social support, public information, and other purposes"
Q6498663,,organization with the job to help the public in emergency situations like fire
Q1228967,,group of individuals with similar interest who gather to bring up ideas or solve problems
Q5421939,,"organization that practises extension, in the context of community development."
Q5582617,,
Q1241025,,"group of researchers often from the same faculty, specialized on the same subject, working together on the issue or topic"
Q6031029,,place where information is given out
Q5380419,,"the equivalent of ""company"" in the former socialist state"
Q1311569,,railway divisions for administration purposes in Germany and Austria
Q3508373,,consolidated services from several municipalities
Q3269648,,civil society non-profit that operates within a local community
Q5398995,,organization covertly collecting HUMINT without jurisdiction
Q5589293,,"City commission government system of Portland, Oregon"
Q3184737,,"group of priests that governs the different activities the cathedrals, called canons"
Q3577960,,an educational structure similar in focus to a graduate school but restricted to PhD level.
Q79751,,power structure in which power rests with a small number of people
Q3540209,,concept in sociology which identifies a place which is neither home nor a workplace
Q5399385,,company or organization that manufactures fake academic paper for a fee
Q5266682,,Organisation to foster urban development
Q3349568,,TV channel and radio operator in Benin
Q5565881,,"form of participatory philanthropy where groups of individuals donate to a pooled fund, and then collectively decide on the use of this fund for charity or community projects"
Q6138323,,facility for construction and repair of rolling stock owned by a railway
Q5341295,,body with an aim of education
Q1199840,,type of service company
Q3509383,,Canadian term for group of television stations not defined as a network
Q1200676,,workplace for designers and artisans
Q3607960,,
Q1251750,,facility that manufactures alcoholic beverages through distillation
Q5194618,,an organization or an organized social group whose principal activity is focused on the development and presentation of cultural artifacts according to clearly defined and coherent themes or organizational principles
Q6484284,,conservation organization
Q3356081,,
Q6015263,,legal entity in New Zealand registered under the Incorporated Societies Act 1908
